字词频统计_语料库在线(www.cncorpus.org)
2020/8/26 2:05:22

序号		字词		出现次数		出现频率
391		审计		1		0.0488
392		生态工程		1		0.0488
393		省委		1		0.0488
394		省政府		1		0.0488
395		湿地		1		0.0488
396		十		1		0.0488
397		十八		1		0.0488
398		石		1		0.0488
399		市		1		0.0488
400		事项		1		0.0488
401		受理		1		0.0488
402		授予		1		0.0488
403		属		1		0.0488
404		水法		1		0.0488
405		水情		1		0.0488
406		水位		1		0.0488
407		水闸		1		0.0488
408		司		1		0.0488
409		司长		1		0.0488
410		滩区		1		0.0488
411		讨论		1		0.0488
412		体检		1		0.0488
413		条文		1		0.0488
414		调		1		0.0488
415		调处		1		0.0488
416		通过		1		0.0488
417		同治		1		0.0488
418		统计		1		0.0488
419		土		1		0.0488
420		退耕		1		0.0488
421		外网		1		0.0488
422		违法		1		0.0488
423		违反		1		0.0488
424		维护		1		0.0488
425		问题		1		0.0488
426		西北		1		0.0488
427		限		1		0.0488
428		协商		1		0.0488
429		协调		1		0.0488
430		新版		1		0.0488
431		新闻		1		0.0488
432		新闻发布会		1		0.0488
433		修		1		0.0488
434		修复		1		0.0488
435		巡查		1		0.0488
436		汛		1		0.0488
437		严重		1		0.0488
438		验		1		0.0488
439		要点		1		0.0488
440		一		1		0.0488
441		一河		1		0.0488
442		以上		1		0.0488
443		引		1		0.0488
444		引导		1		0.0488
445		预		1		0.0488
446		预案		1		0.0488
447		预算		1		0.0488
448		远程		1		0.0488
449		运营		1		0.0488
450		在		1		0.0488
451		闸		1		0.0488
452		招		1		0.0488
453		着装		1		0.0488
454		证件		1		0.0488
455		政		1		0.0488
456		支持		1		0.0488
457		执法		1		0.0488
458		执行		1		0.0488
459		职工教育		1		0.0488
460		制定		1		0.0488
461		治安		1		0.0488
462		中国		1		0.0488
463		中央		1		0.0488
464		重要		1		0.0488
465		主要		1		0.0488
466		专职		1		0.0488
467		转换		1		0.0488
468		转让		1		0.0488
469		准入		1		0.0488
470		资本		1		0.0488
471		资产		1		0.0488
472		资格		1		0.0488
473		子女		1		0.0488
474		综合		1		0.0488
