字词频统计_语料库在线(www.cncorpus.org)
2020/8/26 2:06:55

序号		字词		出现次数		出现频率
605		见		1		0.0311
606		件		1		0.0311
607		将		1		0.0311
608		讲		1		0.0311
609		奖		1		0.0311
610		奖章		1		0.0311
611		降至		1		0.0311
612		交流		1		0.0311
613		交流会		1		0.0311
614		胶东		1		0.0311
615		阶段		1		0.0311
616		揭晓		1		0.0311
617		节水		1		0.0311
618		金堤河		1		0.0311
619		进行		1		0.0311
620		近期		1		0.0311
621		禁止		1		0.0311
622		经验		1		0.0311
623		警惕		1		0.0311
624		竞赛		1		0.0311
625		救灾		1		0.0311
626		就		1		0.0311
627		就绪		1		0.0311
628		具有		1		0.0311
629		开		1		0.0311
630		开始		1		0.0311
631		开通		1		0.0311
632		看		1		0.0311
633		看望		1		0.0311
634		考核		1		0.0311
635		科		1		0.0311
636		科学		1		0.0311
637		可		1		0.0311
638		口		1		0.0311
639		库		1		0.0311
640		啦		1		0.0311
641		来		1		0.0311
642		莱州		1		0.0311
643		劳动		1		0.0311
644		劳动模范		1		0.0311
645		劳模		1		0.0311
646		牢		1		0.0311
647		了		1		0.0311
648		了解		1		0.0311
649		累计		1		0.0311
650		李群		1		0.0311
651		李兆忠		1		0.0311
652		历史		1		0.0311
653		立方米		1		0.0311
654		立项		1		0.0311
655		利剑		1		0.0311
656		连续		1		0.0311
657		联合		1		0.0311
658		联合国		1		0.0311
659		联席会议		1		0.0311
660		联系		1		0.0311
661		廉政建设		1		0.0311
662		谅解		1		0.0311
663		聊城		1		0.0311
664		瞭		1		0.0311
665		领导班子		1		0.0311
666		刘九杰		1		0.0311
667		龙门		1		0.0311
668		路线图		1		0.0311
669		掠影		1		0.0311
670		轮		1		0.0311
671		论述		1		0.0311
672		论坛		1		0.0311
673		履		1		0.0311
674		绿色		1		0.0311
675		马汉平		1		0.0311
676		迈出		1		0.0311
677		明		1		0.0311
678		明确		1		0.0311
679		模范		1		0.0311
680		模拟		1		0.0311
681		模式		1		0.0311
682		谋		1		0.0311
683		亩		1		0.0311
684		目标		1		0.0311
685		纳入		1		0.0311
686		内		1		0.0311
687		内蒙古		1		0.0311
688		内容		1		0.0311
689		能力		1		0.0311
690		聂根华		1		0.0311
691		凝		1		0.0311
692		农村		1		0.0311
693		农田		1		0.0311
694		欧盟		1		0.0311
695		派驻		1		0.0311
696		庞		1		0.0311
697		配合		1		0.0311
698		批		1		0.0311
699		批示		1		0.0311
700		篇章		1		0.0311
701		拼		1		0.0311
702		平安		1		0.0311
703		平台		1		0.0311
704		普法		1		0.0311
705		谱		1		0.0311
706		七五		1		0.0311
707		企业		1		0.0311
708		起		1		0.0311
709		起点		1		0.0311
710		迁入		1		0.0311
711		签署		1		0.0311
712		前		1		0.0311
713		前进		1		0.0311
714		强音		1		0.0311
715		抢险		1		0.0311
716		清河		1		0.0311
717		情报		1		0.0311
718		情怀		1		0.0311
719		情况		1		0.0311
720		秋季		1		0.0311
721		区		1		0.0311
722		取向		1		0.0311
723		全国代表大会		1		0.0311
724		全力以赴		1		0.0311
725		全年		1		0.0311
726		全胜		1		0.0311
727		燃眉之急		1		0.0311
728		让		1		0.0311
729		人口		1		0.0311
730		荣获		1		0.0311
731		入汛		1		0.0311
732		润		1		0.0311
733		三		1		0.0311
734		山川		1		0.0311
735		山口		1		0.0311
736		山西		1		0.0311
737		上篇		1		0.0311
738		上线		1		0.0311
739		社会		1		0.0311
740		深化		1		0.0311
741		审计局		1		0.0311
742		生命		1		0.0311
743		生物		1		0.0311
744		省委		1		0.0311
745		省政府		1		0.0311
746		胜利		1		0.0311
747		诗歌		1		0.0311
748		十		1		0.0311
749		十七		1		0.0311
750		十三五		1		0.0311
751		十一		1		0.0311
752		时		1		0.0311
753		时间表		1		0.0311
754		时期		1		0.0311
755		示范		1		0.0311
756		示范点		1		0.0311
757		世界		1		0.0311
758		事		1		0.0311
759		事迹		1		0.0311
760		事业		1		0.0311
761		试点		1		0.0311
762		收		1		0.0311
763		手段		1		0.0311
764		守		1		0.0311
765		首		1		0.0311
766		首届		1		0.0311
767		受		1		0.0311
768		书		1		0.0311
769		署名		1		0.0311
770		数据		1		0.0311
771		数说		1		0.0311
772		水工		1		0.0311
773		水解		1		0.0311
774		水量		1		0.0311
775		水平		1		0.0311
776		水情		1		0.0311
777		水生		1		0.0311
778		水文站		1		0.0311
779		顺应		1		0.0311
780		说		1		0.0311
781		四季		1		0.0311
782		松懈		1		0.0311
783		送去		1		0.0311
784		谈心		1		0.0311
785		滔滔		1		0.0311
786		特别		1		0.0311
787		腾飞		1		0.0311
788		提出		1		0.0311
789		提供		1		0.0311
790		提醒		1		0.0311
791		天堑		1		0.0311
792		挑战		1		0.0311
793		调整		1		0.0311
794		铁肩		1		0.0311
795		厅		1		0.0311
796		通道		1		0.0311
797		通告		1		0.0311
798		通过		1		0.0311
799		通行		1		0.0311
800		通途		1		0.0311
801		通信		1		0.0311
802		通讯员		1		0.0311
803		同		1		0.0311
804		同志		1		0.0311
805		投资		1		0.0311
806		突破		1		0.0311
807		图		1		0.0311
808		推		1		0.0311
809		推行		1		0.0311
810		外		1		0.0311
811		王		1		0.0311
812		王健		1		0.0311
813		王民		1		0.0311
814		王新波		1		0.0311
815		王宗文		1		0.0311
816		网		1		0.0311
817		网信		1		0.0311
818		望		1		0.0311
819		维护		1		0.0311
820		伟庄		1		0.0311
821		尾		1		0.0311
822		委以		1		0.0311
823		未来		1		0.0311
824		渭河		1		0.0311
825		慰问		1		0.0311
826		文化		1		0.0311
827		文学		1		0.0311
828		文章		1		0.0311
829		稳		1		0.0311
830		问		1		0.0311
831		我国		1		0.0311
832		五大		1		0.0311
833		五一		1		0.0311
834		下篇		1		0.0311
835		县		1		0.0311
836		现		1		0.0311
837		限		1		0.0311
838		线上		1		0.0311
839		线索		1		0.0311
840		线下		1		0.0311
841		相关		1		0.0311
842		祥瑞		1		0.0311
843		向全		1		0.0311
844		项		1		0.0311
845		小		1		0.0311
846		泄		1		0.0311
847		泄洪		1		0.0311
848		新篇		1		0.0311
849		新区		1		0.0311
850		新闻		1		0.0311
851		新乡		1		0.0311
852		新增		1		0.0311
853		形式主义		1		0.0311
854		雄		1		0.0311
855		修复		1		0.0311
856		秀美		1		0.0311
857		宣传		1		0.0311
858		宣讲		1		0.0311
859		宣言		1		0.0311
860		绚丽		1		0.0311
861		巡察		1		0.0311
862		巡回		1		0.0311
863		汛前		1		0.0311
864		沿		1		0.0311
865		研发		1		0.0311
866		研讨班		1		0.0311
867		演讲		1		0.0311
868		验收		1		0.0311
869		要		1		0.0311
870		一个		1		0.0311
871		一鼓作气		1		0.0311
872		一湾		1		0.0311
873		医务		1		0.0311
874		医院		1		0.0311
875		已		1		0.0311
876		以		1		0.0311
877		以来		1		0.0311
878		以下		1		0.0311
879		亿		1		0.0311
880		疫		1		0.0311
881		意义		1		0.0311
882		银山		1		0.0311
883		引领		1		0.0311
884		饮水		1		0.0311
885		赢		1		0.0311
886		用于		1		0.0311
887		优先		1		0.0311
888		游春		1		0.0311
889		有关		1		0.0311
890		有序		1		0.0311
891		于		1		0.0311
892		余万		1		0.0311
893		余元君		1		0.0311
894		鱼苗		1		0.0311
895		渔		1		0.0311
896		雨水		1		0.0311
897		预		1		0.0311
898		预案		1		0.0311
899		预报		1		0.0311
900		预测		1		0.0311
901		元旦		1		0.0311
902		袁崇仁		1		0.0311
903		圆满		1		0.0311
904		约束		1		0.0311
905		约谈		1		0.0311
906		月		1		0.0311
907		运筹		1		0.0311
908		运行		1		0.0311
909		运用		1		0.0311
910		郓城		1		0.0311
911		载		1		0.0311
912		再次		1		0.0311
913		造福		1		0.0311
914		责任		1		0.0311
915		责任制		1		0.0311
916		闸门		1		0.0311
917		摘编		1		0.0311
918		展		1		0.0311
919		展现		1		0.0311
920		占地		1		0.0311
921		这		1		0.0311
922		争		1		0.0311
923		征程		1		0.0311
924		整治		1		0.0311
925		正		1		0.0311
926		正气		1		0.0311
927		政		1		0.0311
928		政策		1		0.0311
929		政府		1		0.0311
930		政纪		1		0.0311
931		之际		1		0.0311
932		支持		1		0.0311
933		知识		1		0.0311
934		知识竞赛		1		0.0311
935		执法		1		0.0311
936		执行		1		0.0311
937		直面		1		0.0311
938		直属		1		0.0311
939		职		1		0.0311
940		指		1		0.0311
941		指导		1		0.0311
942		指挥部		1		0.0311
943		指示		1		0.0311
944		志愿		1		0.0311
945		制造业		1		0.0311
946		治		1		0.0311
947		治党		1		0.0311
948		中期		1		0.0311
949		中秋节		1		0.0311
950		中下游		1		0.0311
951		重视		1		0.0311
952		周刊		1		0.0311
953		主		1		0.0311
954		主席		1		0.0311
955		主线		1		0.0311
956		主要		1		0.0311
957		筑		1		0.0311
958		专访		1		0.0311
959		专业		1		0.0311
960		转变		1		0.0311
961		转入		1		0.0311
962		追赶		1		0.0311
963		资金		1		0.0311
964		综		1		0.0311
965		综合治理		1		0.0311
966		总结		1		0.0311
967		奏响		1		0.0311
968		组织		1		0.0311
969		最		1		0.0311
970		最好		1		0.0311
971		作用		1		0.0311
972		做		1		0.0311
